location,total_vaccinations,people_fully_vaccinated,daily_vaccinations,date
Afghanistan,7885045.0,6422705.0,190328.0,2022-07-19
Africa,595711015.0,288919882.0,4156962.0,2022-08-03
Albania,2934116.0,1253962.0,17565.0,2022-07-24
Algeria,15205854.0,6851660.0,256927.0,2022-05-29
Andorra,153531.0,53460.0,1762.0,2022-07-10
Angola,21099865.0,7393934.0,183173.0,2022-07-17
Anguilla,24060.0,10273.0,331.0,2022-07-08
Antigua and Barbuda,126122.0,62031.0,1278.0,2022-06-17
Argentina,107885656.0,37675556.0,452011.0,2022-08-02
Armenia,2150112.0,985807.0,17910.0,2022-05-22
Aruba,172764.0,83247.0,2679.0,2022-08-03
Asia,8435214660.0,3347426632.0,33842959.0,2022-08-03
Australia,58242589.0,21733545.0,295848.0,2022-08-02
Austria,18418001.0,6625237.0,112707.0,2022-07-01
Azerbaijan,13822079.0,4858243.0,85991.0,2022-08-03
Bahamas,349262.0,160953.0,3473.0,2022-07-29
Bahrain,3461650.0,1224353.0,22003.0,2022-08-02
Bangladesh,290671923.0,120635613.0,3758404.0,2022-08-03
Barbados,316976.0,154016.0,4526.0,2022-07-31
Belarus,13394906.0,6332753.0,77113.0,2022-07-10
Belgium,25729321.0,9154797.0,155040.0,2022-07-30
Belize,496096.0,218344.0,4569.0,2022-07-29
Benin,3681560.0,2690085.0,60281.0,2022-07-03
Bermuda,132042.0,47657.0,1224.0,2022-07-08
Bhutan,1914505.0,673113.0,91636.0,2022-07-24
Bolivia,14260660.0,6067192.0,107780.0,2022-07-28
Bonaire Sint Eustatius and Saba,35845.0,16736.0,196.0,2021-09-01
Bosnia and Herzegovina,1924950.0,846080.0,17247.0,2022-01-29
Botswana,2862659.0,1512567.0,56751.0,2022-07-17
Brazil,465319009.0,170168354.0,1941268.0,2022-07-24
British Virgin Islands,41346.0,18187.0,343.0,2022-07-15
Brunei,1173118.0,426764.0,7901.0,2022-05-27
Bulgaria,4481873.0,2065237.0,27038.0,2022-08-03
Burkina Faso,3134621.0,1640349.0,39484.0,2022-07-17
Burundi,18307.0,15862.0,410.0,2022-07-17
Cambodia,41584033.0,14411480.0,289014.0,2022-07-15
Cameroon,1849562.0,1223119.0,47269.0,2022-07-10
Canada,87412791.0,31499831.0,545858.0,2022-07-28
Cape Verde,802216.0,307655.0,6701.0,2022-07-10
Cayman Islands,147211.0,59931.0,1024.0,2022-07-22
