location,total_vaccinations,people_fully_vaccinated,daily_vaccinations,date
Afghanistan,2369625.0,430744.0,70761.0,2021-02-22
Africa,171780334.0,69031700.0,2294257.0,2021-01-09
Albania,1816580.0,845877.0,17565.0,2021-01-10
Algeria,14082920.0,4032942.0,314866.0,2021-01-29
Andorra,102032.0,47720.0,1762.0,2021-01-25
Angola,4448653.0,1290152.0,78378.0,2021-03-01
Anguilla,18705.0,9157.0,331.0,2021-02-04
Antigua and Barbuda,99846.0,45088.0,1278.0,2021-02-16
Argentina,55605668.0,24514822.0,416699.0,2020-12-29
Armenia,514241.0,170212.0,7047.0,2021-03-31
Aruba,158065.0,76011.0,2679.0,2021-03-29
Asia,4484448294.0,1843460163.0,33335486.0,2020-12-15
Australia,32494119.0,14245406.0,297499.0,2021-02-14
Austria,11207136.0,5526501.0,92227.0,2020-12-27
Azerbaijan,9138351.0,4196348.0,85991.0,2021-01-17
Bahamas,238432.0,110710.0,3473.0,2021-03-13
Bahrain,2700105.0,1132855.0,22003.0,2020-12-23
Bangladesh,56133021.0,18682901.0,1504836.0,2021-01-26
Barbados,258231.0,114570.0,4526.0,2021-02-15
Belarus,4218130.0,1749584.0,50823.0,2020-12-28
Belgium,16741664.0,8489064.0,154705.0,2020-12-28
Belize,344463.0,144531.0,4569.0,2021-02-28
Benin,252698.0,186951.0,4998.0,2021-05-12
Bermuda,88417.0,43400.0,773.0,2021-01-10
Bhutan,1087753.0,502274.0,91636.0,2021-03-26
Bolivia,6931689.0,3465762.0,84898.0,2021-01-28
Bonaire Sint Eustatius and Saba,35845.0,16736.0,196.0,2021-04-09
Bosnia and Herzegovina,1242203.0,508008.0,17247.0,2021-02-11
Botswana,783999.0,258260.0,13428.0,2021-03-25
Brazil,256425302.0,105171980.0,2045834.0,2021-01-16
British Virgin Islands,33075.0,15468.0,343.0,2021-05-21
Brunei,563695.0,224028.0,7901.0,2021-04-02
Bulgaria,2626708.0,1383964.0,27038.0,2020-12-29
Burkina Faso,297231.0,208994.0,8838.0,2021-06-02
Cambodia,26235936.0,12432963.0,289014.0,2021-02-09
Cameroon,479521.0,140494.0,21423.0,2021-04-11
Canada,57562705.0,27681160.0,542779.0,2020-12-14
Cape Verde,460484.0,166158.0,6701.0,2021-03-18
Cayman Islands,109919.0,55780.0,1024.0,2020-12-26
Central African Republic,255345.0,9901.0,7076.0,2021-05-12
Chad,183351.0,36682.0,4722.0,2021-06-10
Chile,34128477.0,14366309.0,298701.0,2020-12-24
China,2229212000.0,1047872000.0,22424286.0,2020-12-15
Colombia,43881718.0,19199704.0,414465.0,2021-02-17
Comoros,360675.0,162098.0,5633.0,2021-04-21
Congo,398685.0,119594.0,6118.0,2021-04-14
Cook Islands,22536.0,11132.0,812.0,2021-05-25
Costa Rica,5921089.0,2395829.0,87355.0,2020-12-24
Cote d'Ivoire,2578266.0,607739.0,58383.0,2021-03-01
Croatia,3516613.0,1752644.0,35538.0,2020-12-30
Cuba,23920914.0,6689090.0,321878.0,2021-05-12
